file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q138_??????????\f1\Node.java,é.Node,class,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\hash??\q1_????\f1\Solution.java,hashç.Solution,class,1,1,0,1,4,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,1,0,0,0,5,5,2,3,3,0,0,0,9,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???????\q450_???????????\Solution.java,äºŒå.Solution,class,2,3,1,2,11,1,0,3,6,0.0,0.0,0.0,4,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,5,0,0,0,3,12,0,4,1,0,0,0,19,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??????\q141_????\f1\ListNode.java,å.ListNode,class,1,2,1,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q232_??????\f2\MyQueue.java,MyQueue,class,2,2,0,2,9,1,0,5,0,0.46666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,30,4,1,0,0,0,0,0,3,0,3,2,0,0,0,33,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q232_??????\f1\MyQueue.java,æ.MyQueue,class,0,0,0,0,9,1,0,5,0,0.53333336,0.5,0.6,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,32,3,2,0,0,0,0,0,5,0,4,1,0,0,0,34,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q232_??????\????????\MaxQueue.java,æ.MaxQueue,class,0,0,0,0,10,1,0,11,0,0.125,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,24,2,1,4,0,0,0,6,2,0,2,1,0,0,0,9,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\????\Solution.java,å.Solution,class,1,1,0,1,5,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,0,3,0,0,0,0,10,12,3,7,3,0,0,0,13,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q138_??????????\f2\Node.java,Node,class,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q155_???\MinStack.java,æ.MinStack,class,0,0,0,0,7,1,0,6,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,32,2,0,0,0,0,0,1,2,1,2,2,0,0,0,9,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\????????\Main.java,Consumer,innerclass,2,3,1,2,5,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,1,2,0,1,4,1,1,1,3,0,0,0,8,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q138_??????????\f1\Solution.java,é.Solution,class,2,3,1,2,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,16,3,0,1,0,0,0,0,4,0,2,1,0,0,0,11,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\q236_??????????\TreeNode.java,TreeNode,class,1,3,2,1,1,1,0,0,0,0.6666667,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q102_????????\TreeNode.java,æ.TreeNode,class,1,2,1,1,1,1,0,0,0,0.6666667,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q648_????\Solution.java,å­.Solution,class,1,1,0,1,10,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,1,4,4,0,0,2,1,8,5,4,3,0,0,0,17,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q56_????\Solution.java,åŒºé.Solution,class,1,1,0,1,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,2,1,0,0,0,0,7,7,0,6,2,0,0,1,15,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q61_????\Solution.java,Solution,class,1,21,1,20,5,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,3,2,3,0,0,0,3,9,3,5,1,0,0,0,15,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\???????\Threads.java,å.Threads,class,1,2,1,1,7,1,0,7,1,0.6,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,5,4,0,5,0,0,1,0,0,34,0,2,0,1,0,7,6,6,2,6,3,0,0,0,21,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???????\q450_???????????\TreeNode.java,äºŒå.TreeNode,class,1,3,2,1,1,1,0,0,0,0.6666667,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q648_????\Solution.java,å­.TrieNode,class,1,3,2,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,1,0,2,0,0,0,0,4,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q61_????\ListNode.java,ListNode,class,1,3,2,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q172_?????\f1\Solution.java,æ.Solution,class,0,0,0,0,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,1,0,0,0,5,4,1,3,2,0,0,0,8,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\q101_?????\f1\TreeNode.java,é€.TreeNode,class,1,3,2,1,1,1,0,0,0,0.6666667,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q1143_???????\Solution.java,åŠ.Solution,class,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,2,1,0,0,0,11,9,9,7,3,0,0,0,13,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\??????????\Main.java,å.Main,class,2,3,1,2,21,1,0,12,21,0.0,0.0,0.0,7,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,85,4,6,10,0,0,0,6,22,0,11,2,0,0,0,19,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\q21_????????\f1\ListNode.java,é€.ListNode,class,1,2,1,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q23_??K?????\ListNode.java,åˆ.ListNode,class,1,3,2,1,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q23_??K?????\Solution.java,åˆ.Solution,class,2,3,1,2,10,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,7,3,6,0,0,0,5,14,0,6,3,0,0,0,21,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\q101_?????\f1\Solution.java,é€.Solution,class,2,3,1,2,13,1,0,6,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,57,5,3,6,0,0,0,12,19,1,12,3,0,0,0,25,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\????????\Main.java,Producer,innerclass,2,3,1,2,5,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,1,2,0,1,3,1,1,1,3,0,0,0,11,0,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q160_????\ListNode.java,é.ListNode,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\??????????\TreeNode.java,å.TreeNode,class,1,3,2,1,1,1,0,0,0,0.6666667,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,1,0
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??\????????\Main.java,Main,class,2,17,1,16,9,1,0,7,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,37,0,0,4,0,0,2,18,13,11,14,3,0,0,0,20,1,0
